handle,title,image_url,current_alt,suggested_alt
miramare-luxury-mattress-palace-collection-by-chattam-wells-1,"Chattam & Wells Miramare Luxury Firm 13"" Mattress",https://cdn.shopify.com/s/files/1/0684/1759/files/Chattam_and_Wells_The_Miramare_at_LA_Mattress_Store_2.png?v=1774962128,,"Chattam & Wells Miramare Luxury Firm 13"" Mattress photographed in our Los Angeles showroom, available with free white-glove delivery"
ashford-euro-top-luxury-mattress-palace-collection-by-chattam-wells,"Chattam & Wells The Ashford Luxury Medium Euro Top 15.5"" Mattress",https://cdn.shopify.com/s/files/1/0684/1759/files/LA_Mattress_Store_-_Chattam_Wells.png?v=1774961693,,"Chattam & Wells The Ashford Luxury Medium Euro Top 15.5"" Mattress photographed in our Los Angeles showroom, available with free white-glove delivery"
queen-chattam-wells-mattress-clearance-the-ashford-luxury-medium-euro-top-15,"Queen Chattam & Wells The Ashford Luxury Medium Euro Top 15.5"" Floor Sample Clearance Mattress",https://cdn.shopify.com/s/files/1/0684/1759/files/LA_Mattress_Store_-_Chattam_Wells.png?v=1774961693,,"Chattam & Wells Queen Chattam & Wells The Ashford Luxury Medium Euro Top 15.5"" Floor Sample Clearance Mattress photographed in our Los Angeles showroom, available with free white-glove delivery"
helix-sleep-elite-collection-midnight-elite-luxury-plush-15-mattress,"Helix Sleep Elite Collection Midnight Elite Luxury Plush 15"" Mattress",https://cdn.shopify.com/s/files/1/0684/1759/files/elite_e1d5ao_5ba8629c-9e72-4286-801d-5c6460a5aa6e.webp?v=1772525383,,"Helix Sleep Elite Collection Midnight Elite Luxury Plush 15"" Mattress photographed in our Los Angeles showroom, available with free white-glove delivery"
chattam-wells-miramare-luxury-firm-13-floor-sample-clearance-mattress,"Queen Chattam & Wells Miramare Luxury Firm 13"" Floor Sample Clearance Mattress",https://cdn.shopify.com/s/files/1/0684/1759/files/Chattam_and_Wells_The_Miramare_at_LA_Mattress_Store_2.png?v=1774962128,,"Chattam & Wells Queen Chattam & Wells Miramare Luxury Firm 13"" Floor Sample Clearance Mattress photographed in our Los Angeles showroom, available with free white-glove delivery"
deluxe-bed-frame,Deluxe Bed Frame,https://cdn.shopify.com/s/files/1/0684/1759/files/Steel_DQKG6_Q_01_WEB.jpg?v=1776359807,,Rize Home Deluxe Bed Frame at LA Mattress Store in Los Angeles
