handle,title,tag_count,flagged,near_duplicate_groups,all_tags
ashford-euro-top-luxury-mattress-palace-collection-by-chattam-wells,"Chattam & Wells The Ashford Luxury Medium Euro Top 15.5"" Mattress",63,yes,Brand_Chattam & Wells | chattam  ;;  California King Innerspring Mattresses | Chattam and Wells California King Size Mattresses | Chattam and Wells Innerspring Mattresses | Chattam and Wells King Mattresses | Chattam and Wells King Memory Foam Mattresses | Chattam and Wells Queen Innerspring Mattresses | Full Innerspring Mattresses | Innerspring Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | mattress | Medium California King Hybrid Mattresses | Medium Chattam and Wells Innerspring Mattresses | Medium King Size Mattresses | Twin XL Innerspring Mattresses  ;;  Chattam and Wells Full Memory Foam Mattresses | Chattam and Wells Full Size Mattresses | Chattam and Wells Hybrid Mattresses | Chattam and Wells King Size Mattress Sale | Chattam and Wells Mattress Sale | Chattam and Wells Memory Foam Mattresses | Chattam and Wells Queen Memory Foam Mattresses | Chattam and Wells Twin Mattresses | Chattam and Wells Twin XL Mattresses | Medium Chattam and Wells Hybrid Mattresses | Medium Chattam and Wells Mattresses | Medium Full Size Mattresses  ;;  Full Size Mattress Sale | Mattress Sale | Queen Size Mattress Sale | Twin Size Mattress Sale | Twin XL Size Mattress Sale  ;;  Hybrid Mattresses | Hybrid Queen Size Mattresses | Medium Hybrid Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Medium | Medium Mattresses | Medium Queen Size Mattresses | Medium Twin Size Mattresses | Medium Twin XL Size Mattresses  ;;  Size_Twin | Size_Twin XL,"All, best selling, Brand_Chattam & Wells, California King Innerspring Mattresses, CertiPUR-US, chattam, Chattam and Wells California King Size Mattresses, Chattam and Wells Full Memory Foam Mattresses, Chattam and Wells Full Size Mattresses, Chattam and Wells Hybrid Mattresses, Chattam and Wells Innerspring Mattresses, Chattam and Wells King Mattresses, Chattam and Wells King Memory Foam Mattresses, Chattam and Wells King Size Mattress Sale, Chattam and Wells Mattress Sale, Chattam and Wells Memory Foam Mattresses, Chattam and Wells Queen Innerspring Mattresses, Chattam and Wells Queen Memory Foam Mattresses, Chattam and Wells Twin Mattresses, Chattam and Wells Twin XL Mattresses, Full Innerspring Mattresses, Full Size Mattress Sale, height-14plus, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, Luxe_Collection, made in usa, mattress, Mattress Sale, Medium, Medium California King Hybrid Mattresses, Medium Chattam and Wells Hybrid Mattresses, Medium Chattam and Wells Innerspring Mattresses, Medium Chattam and Wells Mattresses, Medium Full Size Mattresses, Medium Hybrid Mattresses, Medium King Size Mattresses, Medium Mattresses, Medium Queen Size Mattresses, Medium Twin Size Mattresses, Medium Twin XL Size Mattresses, Non-Toxic, Queen Size Mattress Sale, rating-5, Side, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL, Twin Hybrid Mattresses, Twin Size Mattress Sale, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Twin XL Size Mattress Sale, Type_Latex, Type_Pocketed Coil"
kensington-euro-top-luxury-mattress-palace-collection-by-chattam-wells,"Chattam & Wells Kensington Medium Luxury Euro Top 17"" Mattress",64,yes,Brand_Chattam & Wells | chattam  ;;  California King Innerspring Mattresses | Chattam and Wells California King Size Mattresses | Chattam and Wells Innerspring Mattresses | Chattam and Wells King Mattresses | Chattam and Wells King Memory Foam Mattresses | Chattam and Wells Queen Innerspring Mattresses | Full Innerspring Mattresses | Innerspring Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | mattress | Plush California King Size Mattresses | Plush Chattam and Wells King Size Mattresses | Plush King Mattresses | Twin XL Innerspring Mattresses  ;;  Chattam and Wells Full Memory Foam Mattresses | Chattam and Wells Full Size Mattresses | Chattam and Wells Hybrid Mattresses | Chattam and Wells King Size Mattress Sale | Chattam and Wells Mattress Sale | Chattam and Wells Memory Foam Mattresses | Chattam and Wells Queen Memory Foam Mattresses | Chattam and Wells Twin Mattresses | Chattam and Wells Twin XL Mattresses | Plush Chattam and Wells Mattresses | Plush Chattam and Wells Queen Size Mattresses | Plush Chattam and Wells Twin Size Mattresses | Plush Full Size Mattresses  ;;  Full Size Mattress Sale | Mattress Sale | Queen Size Mattress Sale | Twin Size Mattress Sale | Twin XL Size Mattress Sale  ;;  Hybrid Mattresses | Hybrid Queen Size Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Plush | Plush Mattresses | Plush Queen Mattresses | Plush Twin Size Mattresses | Plush Twin XL Size Mattresses | Ultra Plush Mattresses  ;;  Size_Twin | Size_Twin XL,"All, Brand_Chattam & Wells, California King Innerspring Mattresses, CertiPUR-US, chattam, Chattam and Wells California King Size Mattresses, Chattam and Wells Full Memory Foam Mattresses, Chattam and Wells Full Size Mattresses, Chattam and Wells Hybrid Mattresses, Chattam and Wells Innerspring Mattresses, Chattam and Wells King Mattresses, Chattam and Wells King Memory Foam Mattresses, Chattam and Wells King Size Mattress Sale, Chattam and Wells Mattress Sale, Chattam and Wells Memory Foam Mattresses, Chattam and Wells Queen Innerspring Mattresses, Chattam and Wells Queen Memory Foam Mattresses, Chattam and Wells Twin Mattresses, Chattam and Wells Twin XL Mattresses, Full Innerspring Mattresses, Full Size Mattress Sale, height-14plus, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, Luxe_Collection, made in usa, mattress, Mattress Sale, Medium, Non-Toxic, Plush, Plush California King Size Mattresses, Plush Chattam and Wells King Size Mattresses, Plush Chattam and Wells Mattresses, Plush Chattam and Wells Queen Size Mattresses, Plush Chattam and Wells Twin Size Mattresses, Plush Full Size Mattresses, Plush King Mattresses, Plush Mattresses, Plush Queen Mattresses, Plush Twin Size Mattresses, Plush Twin XL Size Mattresses, Queen Size Mattress Sale, rating-5, Side, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL, Twin Hybrid Mattresses, Twin Size Mattress Sale, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Twin XL Size Mattress Sale, Type_Latex, Type_Pocketed Coil, Ultra Plush Mattresses"
chattam-heavy-duty-low-profile-4-foundation-palace-collection-by-chattam-wells,"Chattam & Wells Heavy Duty 4"" Foundation",13,yes,foundation | low profile foundation  ;;  Size_Twin | Size_Twin XL,"Brand_Chattam & Wells, CertiPUR-US, foundation, low profile foundation, Luxe_Collection, made in usa, Non-Toxic, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL"
chattam-wells-heavy-duty-9-foundation,"Chattam & Wells Heavy Duty 9"" Foundation",13,yes,foundation | standard foundation  ;;  Size_Twin | Size_Twin XL,"Brand_Chattam & Wells, CertiPUR-US, foundation, Luxe_Collection, made in usa, Non-Toxic, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL, standard foundation"
harvest-green-original-firm-natural-latex-by-diamond-mattress,"Harvest Green Original GOTS Certified 11"" Mattress",62,yes,Bed in a Box California King Size Mattresses | Bed in a Box Twin Size Mattresses | Brand_Bed In A Box | California King Innerspring Mattresses | Firm Bed in a Box Mattresses | Firm Full Size Mattresses | Firm King Size Mattresses | Firm Twin Size Mattresses | Full Bed in a Box Mattresses | Harvest Bed in a Box Mattresses | Harvest Full Size Mattresses | Harvest King Size Mattresses | Harvest Queen Size Mattresses | Harvest Twin XL Size Mattresses | Hybrid Queen Size Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Bed in a Box Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | mattress | Queen Bed in a Box Mattresses  ;;  Brand_Harvest Green | harvest  ;;  Firm | Firm Queen Size Mattress  ;;  Full Innerspring Mattresses | Innerspring Mattresses | Twin XL Innerspring Mattresses  ;;  Full Size Mattress Sale | Harvest Mattress Sale | Harvest Twin Size Mattress Sale | Mattress Sale | Queen Size Mattress Sale | Twin Size Mattress Sale | Twin XL Size Mattress Sale  ;;  Harvest Hybrid Mattresses | Harvest Mattresses | Hybrid Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Size_Twin | Size_Twin XL,"All, Back and Stomach, Bed in a Box California King Size Mattresses, Bed in a Box Twin Size Mattresses, Brand_Bed In A Box, Brand_Harvest Green, California King Innerspring Mattresses, CertiPUR-US, encasement, Feature_Adjustable Friendly, Firm, Firm Bed in a Box Mattresses, Firm Full Size Mattresses, Firm King Size Mattresses, Firm Queen Size Mattress, Firm Twin Size Mattresses, Full Bed in a Box Mattresses, Full Innerspring Mattresses, Full Size Mattress Sale, harvest, Harvest Bed in a Box Mattresses, Harvest Full Size Mattresses, Harvest Hybrid Mattresses, Harvest King Size Mattresses, Harvest Mattress Sale, Harvest Mattresses, Harvest Queen Size Mattresses, Harvest Twin Size Mattress Sale, Harvest Twin XL Size Mattresses, height-10-12, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Bed in a Box Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, made in usa, mattress, Mattress Sale, natural latex, Non-Toxic, organic, popular, prestige, Queen Bed in a Box Mattresses, Queen Size Mattress Sale, rating-4plus, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL, Twin Hybrid Mattresses, Twin Size Mattress Sale, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Twin XL Size Mattress Sale, Type_Latex, Type_Pocketed Coil"
micah-extra-firm-by-eastman-house,"Eastman House Micah Extra Firm 12"" Mattress",55,yes,Brand_Eastman House | eastman  ;;  California King Innerspring Mattresses | Eastman House Innerspring Mattresses | Eastman House King Size Mattresses | Extra Firm California King Size Mattresses | Extra Firm Eastman House Innerspring Mattresses | Extra Firm Innerspring Mattresses | Extra Firm King Size Mattresses | Extra Firm Queen Innerspring Mattresses | Firm King Size Mattresses | Firm Queen Innerspring Mattresses | Firm Twin Innerspring Mattresses | Full Innerspring Mattresses | Innerspring Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | mattress | Twin XL Innerspring Mattresses  ;;  Eastman House Full Size Mattresses | Eastman House Hybrid Mattresses | Eastman House Mattresses | Eastman House Memory Foam Mattresses | Eastman House Queen Memory Foam Mattresses | Eastman House Queen Size Mattresses | Extra Firm Eastman House Mattresses | Extra Firm Full Size Mattresses | Extra Firm Queen Size Mattresses | Extra Firm Twin Size Mattresses | Extra Firm Twin XL Size Mattresses | Firm Full Size Mattresses | Firm Twin Size Mattresses | Hybrid Queen Size Mattresses  ;;  Extra Firm | Extra Firm Mattresses | Extra Firm Memory Foam Mattresses  ;;  Hybrid Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Size_Twin | Size_Twin XL,"Back and Stomach, Brand_Eastman House, California King Innerspring Mattresses, color_black, eastman, Eastman House Full Size Mattresses, Eastman House Hybrid Mattresses, Eastman House Innerspring Mattresses, Eastman House King Size Mattresses, Eastman House Mattresses, Eastman House Memory Foam Mattresses, Eastman House Queen Memory Foam Mattresses, Eastman House Queen Size Mattresses, Extra Firm, Extra Firm California King Size Mattresses, Extra Firm Eastman House Innerspring Mattresses, Extra Firm Eastman House Mattresses, Extra Firm Full Size Mattresses, Extra Firm Innerspring Mattresses, Extra Firm King Size Mattresses, Extra Firm Mattresses, Extra Firm Memory Foam Mattresses, Extra Firm Queen Innerspring Mattresses, Extra Firm Queen Size Mattresses, Extra Firm Twin Size Mattresses, Extra Firm Twin XL Size Mattresses, Firm Full Size Mattresses, Firm King Size Mattresses, Firm Queen Innerspring Mattresses, Firm Queen Size Mattress, Firm Twin Innerspring Mattresses, Firm Twin Size Mattresses, Full Innerspring Mattresses, Gel Memory Foam, height-10-12, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, mattress, rating-5, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL, Twin Hybrid Mattresses, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Type_Gel Foam, Type_Pocketed Coil"
micah-plush-by-eastman-house,"Eastman House Micah Medium Plush 12.5"" Mattress",64,yes,Brand_Eastman House | eastman  ;;  California King Innerspring Mattresses | Eastman House Innerspring Mattresses | Eastman House King Size Mattresses | Full Innerspring Mattresses | Innerspring Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | King Memory Foam Mattresses | mattress | Medium California King Hybrid Mattresses | Medium King Size Mattresses | Plush California King Size Mattresses | Plush King Mattresses | Twin XL Innerspring Mattresses  ;;  Eastman House Full Size Mattresses | Eastman House Hybrid Mattresses | Eastman House Mattresses | Eastman House Memory Foam Mattresses | Eastman House Queen Memory Foam Mattresses | Eastman House Queen Size Mattresses | Full Memory Foam Mattresses | Hybrid Queen Size Mattresses | Medium Full Size Mattresses | Medium Queen Size Mattresses | Medium Twin Size Mattresses | Medium Twin XL Size Mattresses | Memory Foam Twin Size Mattresses | Plush Eastman House Mattresses | Plush Full Size Mattresses | Plush Twin Size Mattresses | Plush Twin XL Size Mattresses  ;;  Hybrid Mattresses | Medium Hybrid Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Medium | Medium Mattresses | Medium Memory Foam Mattresses | Medium Twin Foam Mattresses  ;;  Memory Foam Mattresses | Memory Foam Queen Mattresses | Plush Memory Foam Mattresses | Plush Queen Memory Foam Mattresses | Plush Twin XL Memory Foam Mattresses | Twin XL Memory Foam Mattresses  ;;  Plush | Plush Mattresses | Plush Queen Mattresses  ;;  Size_Twin | Size_Twin XL,"All, Brand_Eastman House, California King Innerspring Mattresses, eastman, Eastman House Full Size Mattresses, Eastman House Hybrid Mattresses, Eastman House Innerspring Mattresses, Eastman House King Size Mattresses, Eastman House Mattresses, Eastman House Memory Foam Mattresses, Eastman House Queen Memory Foam Mattresses, Eastman House Queen Size Mattresses, Full Innerspring Mattresses, Full Memory Foam Mattresses, height-12-14, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, King Memory Foam Mattresses, mattress, Medium, Medium California King Hybrid Mattresses, Medium Full Size Mattresses, Medium Hybrid Mattresses, Medium King Size Mattresses, Medium Mattresses, Medium Memory Foam Mattresses, Medium Queen Size Mattresses, Medium Twin Foam Mattresses, Medium Twin Size Mattresses, Medium Twin XL Size Mattresses, Memory Foam Mattresses, Memory Foam Queen Mattresses, Memory Foam Twin Size Mattresses, Plush, Plush California King Size Mattresses, Plush Eastman House Mattresses, Plush Full Size Mattresses, Plush King Mattresses, Plush Mattresses, Plush Memory Foam Mattresses, Plush Queen Mattresses, Plush Queen Memory Foam Mattresses, Plush Twin Size Mattresses, Plush Twin XL Memory Foam Mattresses, Plush Twin XL Size Mattresses, rating-5, Side, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL, Twin Hybrid Mattresses, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Twin XL Memory Foam Mattresses, Type_Memory Foam, Type_Pocketed Coil"
harvest-green-essential-natural-latex-by-harvest-green-mattress,"Harvest Green Essential GOTS Certified 10"" Mattress",63,yes,Bed in a Box California King Size Mattresses | Bed in a Box Twin Size Mattresses | Brand_Bed In A Box | California King Innerspring Mattresses | Firm Bed in a Box Mattresses | Firm Full Size Mattresses | Firm King Size Mattresses | Firm Twin Size Mattresses | Full Bed in a Box Mattresses | Harvest Bed in a Box Mattresses | Harvest Full Size Mattresses | Harvest King Size Mattresses | Harvest Queen Size Mattresses | Harvest Twin XL Size Mattresses | Hybrid Queen Size Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Bed in a Box Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | mattress | Queen Bed in a Box Mattresses  ;;  Brand_Harvest Green | harvest  ;;  Firm | Firm Queen Size Mattress  ;;  Full Innerspring Mattresses | Innerspring Mattresses | Twin XL Innerspring Mattresses  ;;  Full Size Mattress Sale | Harvest Mattress Sale | Harvest Twin Size Mattress Sale | Mattress Sale | Queen Size Mattress Sale | Twin Size Mattress Sale | Twin XL Size Mattress Sale  ;;  Harvest Hybrid Mattresses | Harvest Mattresses | Hybrid Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Size_Twin | Size_Twin XL,"All, Back and Stomach, Bed in a Box California King Size Mattresses, Bed in a Box Twin Size Mattresses, Brand_Bed In A Box, Brand_Harvest Green, California King Innerspring Mattresses, CertiPUR-US, encasement, Feature_Adjustable Friendly, Firm, Firm Bed in a Box Mattresses, Firm Full Size Mattresses, Firm King Size Mattresses, Firm Queen Size Mattress, Firm Twin Size Mattresses, Full Bed in a Box Mattresses, Full Innerspring Mattresses, Full Size Mattress Sale, harvest, Harvest Bed in a Box Mattresses, Harvest Full Size Mattresses, Harvest Hybrid Mattresses, Harvest King Size Mattresses, Harvest Mattress Sale, Harvest Mattresses, Harvest Queen Size Mattresses, Harvest Twin Size Mattress Sale, Harvest Twin XL Size Mattresses, height-8-10, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Bed in a Box Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, made in usa, mattress, Mattress Sale, natural latex, Non-Toxic, organic, popular, prestige, Queen Bed in a Box Mattresses, Queen Size Mattress Sale, rating-5, Side, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL, Twin Hybrid Mattresses, Twin Size Mattress Sale, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Twin XL Size Mattress Sale, Type_Latex, Type_Pocketed Coil"
dusk-botanical-tencel-lyocell-sheet-set-by-malouf,Malouf Dusk Botanical Tencel™ Lyocell Sheet Set,10,yes,Size_Twin | Size_Twin XL,"bedding, color_dusk, material_Tencel, Sheet Set, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL"
white-botanical-tencel-lyocell-sheet-set-by-malouf,Malouf White Botanical Tencel™ Lyocell Sheet Set,10,yes,Size_Twin | Size_Twin XL,"bedding, color_white, material_Tencel, Sheet Set, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL"
ecru-botanical-tencel-lyocell-sheet-set-by-malouf,Malouf Ecru Botanical Tencel™ Lyocell Sheet Set,9,yes,Size_Twin | Size_Twin XL,"bedding, material_Tencel, Sheet Set, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL"
dusk-botanical-tencel-lyocell-pillowcase-set-by-malouf,Malouf Dusk Botanical Tencel™ Lyocell Pillowcase Set,6,no,,"bedding, color_dusk, material_Tencel, Pillowcase Set, Size_King, Size_Queen"
ecru-botanical-tencel-lyocell-pillowcase-set-by-malouf,Malouf Ecru Botanical Tencel™ Lyocell Pillowcase Set,6,no,,"bedding, color_ecru, material_Tencel, Pillowcase Set, Size_King, Size_Queen"
white-botanical-tencel-lyocell-pillowcase-set-by-malouf,Malouf White Botanical Tencel™ Lyocell Pillowcase Set,6,no,,"bedding, color_white, material_Tencel, Pillowcase Set, Size_King, Size_Queen"
brushed-microfiber-white-sheet-set-by-malouf,Malouf White Soft Knit Microfiber Sheet Set,10,yes,Size_Twin | Size_Twin XL,"bedding, color_white, material_microfiber, Sheet Set, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL"
brushed-microfiber-white-pillowcase-set-by-malouf,Malouf White Soft Knit Microfiber Pillowcase Set,7,no,,"bedding, color_white, material_microfiber, Pillowcase Set, Sheet Set, Size_King, Size_Queen"
brushed-microfiber-ash-sheet-set-by-malouf,Malouf Ash Soft Knit Microfiber Sheet Set,11,yes,Size_Twin | Size_Twin XL,"bedding, best seller, color_Ash, material_microfiber, Sheet Set, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL"
brushed-microfiber-driftwood-sheet-set-by-malouf,Malouf Driftwood Soft Knit Microfiber Sheet Set,10,yes,Size_Twin | Size_Twin XL,"bedding, color_drifwood, material_microfiber, Sheet Set, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL"
brushed-microfiber-pacific-sheet-set-by-malouf,Malouf Pacific Soft Knit Microfiber Sheet Set,11,yes,Size_Twin | Size_Twin XL,"bedding, color_pacific, material_microfiber, Pillowcase Set, Sheet Set, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL"
sandmahn-luxury-plush-box-top-by-scandinavian,"Southerland Scandinavian Collection Sandmahn Plush Box Top 16"" Latex Foam Mattress",60,yes,Brand_Scandinavian | scandinavian  ;;  California King Innerspring Mattresses | Full Innerspring Mattresses | Innerspring Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Hybrid Mattresses | mattress | Plush California King Size Mattresses | Plush King Mattresses | Southerland California King Size Mattresses | Southerland Innerspring Mattresses | Southerland King Size Mattresses  ;;  Comfort_Pillow Top | Pillow Top  ;;  Full Size Mattress Sale | Mattress Sale | Plush Full Size Mattresses | Plush Southerland Full Size Mattresses | Queen Size Mattress Sale | Queen Size Southerland Mattress Sale | Southerland Full Size Mattresses | Twin Size Mattress Sale | Twin XL Size Mattress Sale  ;;  Hybrid | Hybrid Mattresses | Hybrid Queen Size Mattresses | Twin Hybrid Mattresses  ;;  Plush | Plush Mattresses | Plush Queen Mattresses | Plush Southerland Mattresses | Plush Southerland Memory Foam Mattresses | Plush Twin Size Mattresses | Plush Twin XL Size Mattresses | Ultra Plush Mattresses  ;;  Size_Twin | Size_Twin XL  ;;  Southerland Bed in a Box Mattresses | Southerland Mattresses | Southerland Queen Mattresses | Southerland Twin Size Mattresses,"All, Brand_Scandinavian, California King Innerspring Mattresses, CertiPUR-US, Comfort_Pillow Top, Feature_Adjustable Friendly, Full Innerspring Mattresses, Full Size Mattress Sale, height-14plus, Hybrid, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Hybrid Mattresses, Luxe_Collection, made in usa, mattress, Mattress Sale, natural latex, Non-Toxic, Pillow Top, Plush, Plush California King Size Mattresses, Plush Full Size Mattresses, Plush King Mattresses, Plush Mattresses, Plush Queen Mattresses, Plush Southerland Full Size Mattresses, Plush Southerland Mattresses, Plush Southerland Memory Foam Mattresses, Plush Twin Size Mattresses, Plush Twin XL Size Mattresses, Queen Size Mattress Sale, Queen Size Southerland Mattress Sale, rating-4plus, scandinavian, Side, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Split King, Size_Twin, Size_Twin XL, Southerland Bed in a Box Mattresses, Southerland California King Size Mattresses, Southerland Full Size Mattresses, Southerland Innerspring Mattresses, Southerland King Size Mattresses, Southerland Mattresses, Southerland Queen Mattresses, Southerland Twin Size Mattresses, Twin Hybrid Mattresses, Twin Size Mattress Sale, Twin XL Size Mattress Sale, Type_CopperGel, Type_Latex, Ultra Plush Mattresses"
stockholm-firm-euro-top-by-scandinavian,"Southerland Scandinavian Collection Stockholm Luxury Firm Euro Top 13"" Latex Foam Mattress",51,yes,Brand_Scandinavian | scandinavian  ;;  Extra Firm Memory Foam Mattresses | Firm | Firm Full Size Mattresses | Firm King Size Mattresses | Firm Queen Memory Foam Mattresses | Firm Twin Size Mattresses | Foam Mattress | King Memory Foam Mattresses | mattress | Memory Foam Mattresses | Southerland King Memory Foam Mattresses | Southerland Queen Memory Foam Mattresses | Southerland Twin Memory Foam Mattresses  ;;  Firm Queen Size Mattress | Full Size Mattress Sale | Hybrid Queen Size Mattresses | Queen Size Mattress Sale | Queen Size Southerland Mattress Sale | Twin Size Mattress Sale | Twin XL Size Mattress Sale  ;;  Full Innerspring Mattresses | Southerland Full Size Mattresses  ;;  Hybrid | Hybrid Mattresses  ;;  Size_Twin | Size_Twin XL  ;;  Southerland California King Size Mattresses | Southerland King Size Mattresses | Southerland Mattresses | Southerland Queen Mattresses | Southerland Twin Size Mattresses,"All, Back and Stomach, Brand_Scandinavian, CertiPUR-US, Extra Firm Memory Foam Mattresses, Firm, Firm Full Size Mattresses, Firm King Size Mattresses, Firm Queen Memory Foam Mattresses, Firm Queen Size Mattress, Firm Twin Size Mattresses, Foam Mattress, Full Innerspring Mattresses, Full Size Mattress Sale, height-12-14, Hybrid, Hybrid Mattresses, Hybrid Queen Size Mattresses, King Memory Foam Mattresses, made in usa, mattress, Mattress Sale, Memory Foam Mattresses, natural latex, Non-Toxic, popular, Queen Size Mattress Sale, Queen Size Southerland Mattress Sale, rating-4plus, scandinavian, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Split King, Size_Standard, Size_Twin, Size_Twin XL, Southerland California King Size Mattresses, Southerland Full Size Mattresses, Southerland King Memory Foam Mattresses, Southerland King Size Mattresses, Southerland Mattresses, Southerland Queen Mattresses, Southerland Queen Memory Foam Mattresses, Southerland Twin Memory Foam Mattresses, Southerland Twin Size Mattresses, Twin Size Mattress Sale, Twin XL Size Mattress Sale, Type_CopperGel, Type_Latex"
